order_id,product_id,customer_id,price,quantity,order_date,shipping_date,order_status,payment_method,revenue,month_year,month_name,year,month_number,product_category,product_name,unit_cost_usd,profit
556489494,126225,10965138,223.16,1,2023-07-11,2023-07-13,Shipped,Credit Card,223.16,2023-07,Jul,2023,7,Electronics,Bluetooth Speaker,22.88,200.28
223240112,126225,82556484,255.33,1,2023-06-14,2023-06-19,Delivered,Apple Pay,255.33,2023-06,Jun,2023,6,Electronics,Bluetooth Speaker,22.88,232.45000000000002
684719405,876646,20570592,183.09,5,2023-06-07,2023-06-10,Returned,PayPal,915.45,2023-06,Jun,2023,6,Clothing,Cargo Shorts,8.69,872.0
341387305,246316,36757737,237.36,3,2024-01-02,2024-01-03,Processing,Debit Card,712.08,2024-01,Jan,2024,1,Clothing,Running Jacket,48.71,565.95
795392488,126225,62191530,167.48,4,2023-06-13,2023-06-17,Delivered,PayPal,669.92,2023-06,Jun,2023,6,Electronics,Bluetooth Speaker,22.88,578.4
259976144,877572,73519947,114.62,2,2023-12-06,2023-12-09,Returned,Google Pay,229.24,2023-12,Dec,2023,12,Electronics,USB-C Hub,46.28,136.68
385220694,872246,72415804,43.26,3,2024-10-26,2024-10-27,Shipped,Debit Card,129.78,2024-10,Oct,2024,10,Clothing,Denim Jeans,29.09,42.510000000000005
987588450,719176,42730796,207.93,3,2023-09-07,2023-09-08,Shipped,Credit Card,623.79,2023-09,Sep,2023,9,Home & Kitchen,Cast Iron Pan,90.67,351.78
252725050,126225,31682744,233.43,5,2024-06-13,2024-06-20,Returned,Google Pay,1167.15,2024-06,Jun,2024,6,Electronics,Bluetooth Speaker,22.88,1052.75
176675731,246316,99913412,102.88,1,2024-10-29,2024-10-31,Delivered,Debit Card,102.88,2024-10,Oct,2024,10,Clothing,Running Jacket,48.71,54.169999999999995
164035859,671858,49392920,71.12,2,2024-10-03,2024-10-04,Returned,Apple Pay,142.24,2024-10,Oct,2024,10,Home & Kitchen,Air Fryer,110.01,-77.78
